        xo      kBT/p         gC         kb      score          A         r1         r2
       0.2         19         10         41   0.222241         10    1.07409    1.04336
       0.3         19         10         41   0.190569         10    1.06094    1.04248
       0.4         19         10         41   0.161025         10    1.04698    1.03864
       0.5         19         10         41   0.154032         10    1.03129    1.03336
       0.6         19         10         41   0.172235         10    1.01605    1.02904
       0.7         19         10         41   0.246187         10    1.00195    1.02634
       0.8         19         10         41   0.431199         10   0.987365    1.02531
       0.1          1         10         41    10.9919         10    1.82926   0.363594
       0.2          1         10         41     4.2186         10    1.52766   0.455369
       0.3          1         10         41    1.72399         10    1.33759   0.535406
       0.4          1         10         41    0.96456         10    1.24604   0.619953
       0.5          1         10         41   0.609651         10    1.18509   0.725006
       0.6          1         10         41   0.253002         10    1.09286    1.03934
       0.7          1         10         41   0.211573         10    1.06927    1.04433
       0.8          1         10         41   0.149586         10    1.03481    1.03458
       0.1         28         10         41    0.24287         10    1.08445     1.0413
       0.2         28         10         41    0.19852         10    1.06508    1.04298
       0.3         28         10         41   0.167402         10     1.0503    1.03986
       0.4         28         10         41   0.148701         10    1.03531    1.03475
       0.5         28         10         41   0.165501         10    1.02129    1.03039
       0.6         28         10         41   0.195704         10      1.009    1.02822
       0.7         28         10         41   0.304657         10   0.995621     1.0274
       0.8         28         10         41   0.452098         10   0.983251    1.02471
       0.1         37         10         41   0.229303         10     1.0773    1.04291
       0.2         37         10         41   0.185957         10    1.05801    1.04185
       0.3         37         10         41   0.157479         10     1.0418    1.03693
       0.4         37         10         41   0.154431         10    1.02741    1.03212
       0.5         37         10         41   0.172608         10    1.01515    1.02924
       0.6         37         10         41   0.223604         10    1.00431    1.02755
       0.7         37         10         41   0.387083         10   0.993025    1.02816
       0.8         37         10         41   0.510466         10   0.979701    1.02279
       0.1         46         10         41   0.218118         10    1.07223    1.04334
       0.2         46         10         41   0.168834         10    1.05191     1.0402
       0.3         46         10         41   0.148597         10    1.03519    1.03472
       0.4         46         10         41   0.165143         10    1.02187    1.03063
       0.5         46         10         41   0.193429         10    1.01066    1.02879
       0.6         46         10         41    0.23942         10    1.00129    1.02738
       0.7         46         10         41   0.410796         10   0.990559    1.02817
       0.8         46         10         41   0.561756         10    0.97697    1.02157
       0.1         55         10         41   0.208257         10    1.06806    1.04327
       0.2         55         10         41   0.160637         10    1.04658    1.03847
       0.3         55         10         41   0.154398         10    1.03007    1.03305
       0.4         55         10         41   0.170198         10    1.01785       1.03
       0.5         55         10         41    0.20876         10    1.00807    1.02873
       0.6         55         10         41    0.31055         10   0.999109    1.02799
       0.7         55         10         41   0.402552         10   0.988887    1.02858
       0.8         55         10         41   0.545188         10   0.978246    1.02124
       0.1         64         10         41   0.196567         10    1.06447    1.04302
       0.2         64         10         41   0.156858         10    1.04191    1.03698
       0.3         64         10         41   0.154134         10     1.0259    1.03174
       0.4         64         10         41   0.172175         10    1.01448    1.02946
       0.5         64         10         41   0.245496         10    1.00613    1.02789
       0.6         64         10         41   0.307322         10   0.995853    1.02848
       0.7         64         10         41    0.43697         10   0.988381    1.02738
       0.8         64         10         41    0.60594         10    0.97472    1.02083
       0.1         73         10         41   0.191043         10     1.0612    1.04253
       0.2         73         10         41   0.156942         10    1.03793    1.03562
       0.3         73         10         41    0.16263         10    1.02268    1.03094
       0.4         73         10         41   0.181806         10    1.01194    1.02917
       0.5         73         10         41   0.244221         10    1.00417    1.02772
       0.6         73         10         41   0.337048         10   0.994557    1.02909
