3.450110e-002	-4.220081e-003	3.760351e-003
-4.033506e-003	1.101656e+000	-2.748881e-003
-6.595721e-007	3.840520e-007	-2.686922e+000
-1.066914e+000	-3.180097e-003	2.914144e-003
-1.681144e-003	5.152176e-003	3.058076e-002
-2.950195e-001	-6.694459e-001	1.768014e-002
-9.504385e-003	2.672879e-003	3.455304e-002
6.620195e-001	-2.868284e-001	3.309309e-002
-5.818013e-003	-2.071848e-003	-1.582148e-002
-1.093768e-002	8.735185e-003	4.310411e-004
1.547196e-002	1.087624e-002	-4.431539e-003
-3.484305e-001	9.896663e-002	-5.052131e-004
1.447080e-003	-1.703023e-002	-2.849834e-001
-1.114446e-001	-3.558468e-001	2.728445e-003
-1.028535e-002	1.549989e-002	2.920422e-003
-9.025493e-003	-1.067628e-002	3.003309e-004
